source,target,lag
RORA,IFI27,1
RORA,IFI44L,1
RORA,IFI6,1
RORA,IFIT2,1
RORA,ISG15,1
RORA,KCTD14,1
RORA,OAS1,1
RORA,OAS2,1
RORA,OASL,1
RORA,PLCD3,1
RORA,PRF1,1
RORA,RIGI,1
RORA,SLC16A1,1
RORA,TENM1,1
RORA,TRIM14,1
RORA,TRIM6,1
RORA,USP18,1
RSAD2,CLNK,1
RSAD2,DHX58,1
SIK1,APOL2,1
SLC16A1,CTLA4,1
SPDYA,EREG,1
SPDYA,IFIT2,1
SPDYA,Metazoa_SRP,1
TMPRSS2,BCL2L14,1
TRDC,GZMB,1
TRDC,JCHAIN,1
TRDC,RIGI,1
TRDC,RSAD2,1
TRIM6,CST7,1
TRIM6,NR2E1,1
VNN2,APOL6,1
YEATS4,CXCL6,1
YES1,DLG5,1
ZFPM2,CTLA4,1
ZNF423,BMX,1
ZNF423,S100A12,1
ZNF423,VNN2,1
ADAMTS14,ADAMDEC1,2
ADAMTS14,AREG,2
ADAMTS14,DDB1,2
ADAMTS14,FGFBP2,2
ADAMTS14,GLI1,2
ADAMTS14,IL18RAP,2
AHDC1,ARHGEF10,2
AREG,CTLA4,2
AREG,LYPD8,2
AREG,NTRK1,2
AREG,PRSS33,2
AREG,RNF182,2
ARHGEF10,APOL6,2
ARHGEF10,BMX,2
ARHGEF10,EREG,2
ARHGEF10,IFIT3,2
ARHGEF10,MMP10,2
ARHGEF10,NGFR,2
ARHGEF10,PDZD4,2
ARHGEF10,RIGI,2
ARHGEF10,RNF182,2
ARHGEF10,S100A9,2
ARHGEF10,SIK1,2
ARHGEF10,SPDYA,2
ARHGEF10,TP53I11,2
ARHGEF10,U3,2
BEX2,CHRNE,2
BEX2,CYP4F22,2
BEX2,FBXO39,2
BEX2,HMGN3,2
BEX2,ISG15,2
BEX2,LEPR,2
BEX2,LGALS3BP,2
BEX2,OAS3,2
BEX2,OASL,2
BEX2,PML,2
BEX2,SPP1,2
BEX2,USP18,2
BEX2,YEATS4,2
CABLES2,U3,2
CDKN1C,CPA3,2
CLC,COL11A1,2
CLC,HERC5,2
CLC,IFIT3,2
CLC,ISG15,2
CLC,MX1,2
CLC,MX2,2
CLC,OAS2,2
CLC,TRDC,2
CLC,USP18,2
CXCL6,CST7,2
CXCL6,DSCC1,2
CXCL6,ENTPD3,2
CXCL6,LYPD8,2
CXCL6,NR2E1,2
CXCL6,PGLYRP1,2
CXCL6,RORA,2
CXCL6,TRDC,2
