source,target,lag,count_runs,freq
FGFBP2,TRDC,0,4,0.4
RORA,DHX58,1,4,0.4
NR6A1,SIGLEC1,2,4,0.4
FGFBP2,LGALS3BP,2,4,0.4
TRDC,JCHAIN,1,4,0.4
MMP1,MMP8,0,4,0.4
CLDN7,KCNMA1,0,4,0.4
OAS3,FAM216B,0,4,0.4
DSCC1,FAM185A,0,4,0.4
EREG,AREG,0,4,0.4
NR6A1,APOL2,1,4,0.4
PLAU,CXCL6,0,4,0.4
YEATS4,EQTN,0,4,0.4
NBL1,HMGN3,1,4,0.4
MMP8,RNU6-1188P,0,4,0.4
LANCL3,YES1,1,4,0.4
MARCO,JCHAIN,0,4,0.4
FGFBP2,CLC,2,4,0.4
ADAMDEC1,C1QA,0,4,0.4
CLC,MX1,2,4,0.4
JCHAIN,GPR15,0,4,0.4
IGHM,PCDH1,1,4,0.4
CLC,MX2,2,4,0.4
TMPRSS2,HSH2D,0,4,0.4
PML,NGFR,0,4,0.4
LANCL3,NR6A1,1,4,0.4
IL2RA,IL18RAP,1,4,0.4
PRF1,IFI44L,0,4,0.4
ADAMTS14,FGFBP2,2,4,0.4
XAF1,PAK3,0,4,0.4
FAM167B,NBL1,1,4,0.4
ARHGEF10,APOL6,2,4,0.4
CRISPLD2,MMP9,0,4,0.4
CTLA4,NTRK1,0,4,0.4
IGHM,IFI27,2,4,0.4
SPDYA,PAK3,2,4,0.4
IFI44L,COL11A1,0,4,0.4
FOSB,SIK1,0,4,0.4
MMP9,OLFM4,0,4,0.4
SPDYA,EREG,1,4,0.4
TRIM14,TMPRSS2,0,4,0.4
PAK3,BCL2L14,0,4,0.4
FAM216B,FBXO39,0,4,0.4
DDX60,USP18,0,4,0.4
JCHAIN,FGFBP2,1,4,0.4
GBP7,BCL2L14,0,4,0.4
CLC,TMPRSS2,2,4,0.4
APOL6,KCNMA1,0,4,0.4
IL2RA,ATP9A,1,4,0.4
MX1,IFI6,0,4,0.4
DSCC1,CLC,0,4,0.4
DDX60,IFI44,0,4,0.4
CTLA4,FAM185A,0,4,0.4
PRF1,GZMB,0,4,0.4
RORA,XAF1,1,4,0.4
ADGRG3,MMP9,0,4,0.4
ADAMDEC1,HMGN3,0,4,0.4
IRF7,PAK3,0,4,0.4
MMP8,MMP1,0,4,0.4
FGFBP2,ENTPD3,2,4,0.4
CDKN1C,OLFM4,2,4,0.4
SPDYA,CXCL6,2,4,0.4
DDB1,S100A12,2,4,0.4
RORA,BCL2L14,2,4,0.4
CLTCL1,IL2RA,0,4,0.4
SLC16A1,SPDYA,0,4,0.4
CDKN1C,MMP8,1,4,0.4
ALPL,FLT1,0,4,0.4
LANCL3,BMX,1,4,0.4
FAM167B,CLDN7,2,4,0.4
NTRK1,EREG,0,4,0.4
RIGI,IFIT3,0,4,0.4
IFI44L,RIGI,0,4,0.4
ADAMTS14,TRDC,2,4,0.4
FAM167B,C1QA,2,4,0.4
RORA,HSH2D,1,4,0.4
PAK3,ORM1,1,4,0.4
KCTD14,NR6A1,1,4,0.4
MARCO,IGHM,1,4,0.4
FAM167B,KCNMA1,2,4,0.4
MT-ND2,CTLA4,0,4,0.4
BEX2,OAS2,2,4,0.4
CLDN7,HMGN3,0,4,0.4
CSGALNACT1,CRISPLD2,0,4,0.4
NGFR,AREG,1,4,0.4
OAS3,LGALS3BP,0,4,0.4
BEX2,EQTN,2,4,0.4
FLT1,CDKN1C,0,4,0.4
ADAMDEC1,CLDN7,0,4,0.4
FAM185A,DDB1,2,4,0.4
NGFR,YEATS4,1,4,0.4
IGHM,HSH2D,2,4,0.4
CDKN1C,DYSF,2,4,0.4
MCEMP1,YES1,0,4,0.4
NTRK1,FAM185A,0,4,0.4
IFI44,IFI44L,0,4,0.4
U3,FAM185A,1,4,0.4
IRF7,CST7,1,4,0.4
FBLN2,ARHGEF10,1,4,0.4
C1QA,CPA3,1,4,0.4
KCNH7,TRDC,2,4,0.4
DHX58,OAS2,0,4,0.4
S100A12,FAM167B,0,4,0.4
NR6A1,LEPR,2,4,0.4
LGALS3BP,S100A8,1,4,0.4
XAF1,IRF7,0,4,0.4
Metazoa_SRP,NR6A1,0,4,0.4
EREG,SIK1,0,4,0.4
MX2,CLNK,0,4,0.4
AREG,CTLA4,0,4,0.4
SLC16A1,FADS3,1,4,0.4
LGALS3BP,RNF213,0,4,0.4
RORA,S100A9,2,4,0.4
JCHAIN,IFI44,1,4,0.4
RNF213,NGFR,0,4,0.4
BEX2,EIF2AK2,2,4,0.4
GPR15,S100A8,2,4,0.4
SIK1,KCTD14,0,4,0.4
RORA,LAPTM4B,1,4,0.4
BEX2,RNF213,2,4,0.4
ENTPD3,DYSF,0,4,0.4
FAM167B,MT-ND2,2,4,0.4
CLC,SLC16A1,0,4,0.4
GLI1,CRISPLD2,2,4,0.4
DENND5B,SPDYA,1,4,0.4
RSAD2,TRDC,0,4,0.4
CLC,DDX60,2,4,0.4
FAM185A,PAK3,2,4,0.4
CTLA4,AREG,1,4,0.4
RORA,AHDC1,1,4,0.4
TMPRSS2,OAS3,0,4,0.4
IL2RA,MARCO,2,4,0.4
LANCL3,CSGALNACT1,1,4,0.4
LANCL3,FBLN2,1,4,0.4
SLC16A1,RNF182,2,4,0.4
BMX,S100A12,0,4,0.4
RORA,OLFM4,1,4,0.4
TMPRSS2,FOSB,0,4,0.4
RORA,DDX60,1,4,0.4
PLCD3,PGLYRP1,0,4,0.4
SPDYA,DDB1,0,4,0.4
C1QA,ADGRG3,1,4,0.4
ISG15,OAS1,0,4,0.4
MT-ND2,EREG,0,4,0.4
EPX,IL2RA,1,4,0.4
BEX2,SLC16A1,2,4,0.4
MMP1,ZFPM2,1,4,0.4
SIK1,EQTN,1,4,0.4
EIF2AK2,KCTD14,0,4,0.4
IL18RAP,ALPL,0,4,0.4
FOSB,KCNH7,2,4,0.4
IFIT2,IFI27,0,4,0.4
CRISPLD2,MMP1,0,4,0.4
GBP3,SPDYA,0,4,0.4
GLI1,IGHM,0,4,0.4
ZFPM2,CPA3,0,4,0.4
ARHGEF10,BEX2,2,4,0.4
VNN1,IL18R1,0,4,0.4
COL11A1,FGFBP2,0,4,0.4
IRF7,GBP3,0,4,0.4
ZFPM2,FGFBP2,2,4,0.4
CLC,PRF1,2,4,0.4
AHDC1,CCR4,1,4,0.4
DDB1,CLTCL1,1,4,0.4
BEX2,MX2,2,4,0.4
TENM1,FBXO39,0,4,0.4
TRPM2,DYSF,0,4,0.4
IFIT3,IFI44L,0,4,0.4
LGALS3BP,PLAU,1,4,0.4
SIGLEC1,SIK1,0,4,0.4
MCEMP1,MMP10,0,4,0.4
CLNK,CLTCL1,1,4,0.4
CLC,RSAD2,2,4,0.4
OAS3,TMPRSS2,0,4,0.4
NR6A1,EQTN,0,4,0.4
S100A9,VNN1,0,4,0.4
IL18R1,ENTPD3,0,4,0.4
TRDC,PCDH1,2,4,0.4
MMP8,OLFM4,0,4,0.4
EIF2AK2,TMPRSS2,0,4,0.4
ARHGEF10,KCTD14,2,4,0.4
EIF2AK2,OAS3,0,4,0.4
U3,PRF1,2,4,0.4
OLFM4,CST7,0,4,0.4
FBLN2,NR6A1,0,4,0.4
PRSS33,NBL1,2,4,0.4
CXCL6,DYSF,2,4,0.4
RORA,PLAU,2,4,0.4
ENTPD3,IL18R1,0,4,0.4
BEX2,NR6A1,2,4,0.4
BMX,VNN1,0,4,0.4
TRIM6,LGALS3BP,0,4,0.4
GLI1,MMP8,2,4,0.4
ATP9A,NR2E1,0,4,0.4
IGHM,OAS2,2,4,0.4
DDB1,CLC,1,4,0.4
TRDC,PRF1,1,4,0.4
ZNF423,FADS3,0,4,0.4
ZNF423,GBP7,2,4,0.4
TRDC,XAF1,2,4,0.4
FAM216B,OAS3,0,4,0.4
IL2RA,GPR15,1,4,0.4
LEPR,ALPL,1,4,0.4
IFIT3,PRF1,0,3,0.3
VNN2,PLAU,0,3,0.3
IFIT2,OAS1,0,3,0.3
SIK1,FOSB,0,3,0.3
NR6A1,LGALS3BP,2,3,0.3
PDZD4,CLDN7,0,3,0.3
CSGALNACT1,ZFPM2,1,3,0.3
ARHGEF10,TP53I11,2,3,0.3
MCEMP1,VNN2,0,3,0.3
MX1,OAS1,0,3,0.3
CLC,USP18,2,3,0.3
LEPR,DYSF,1,3,0.3
TMPRSS2,SIGLEC1,0,3,0.3
RORA,S100A8,2,3,0.3
RORA,IFI44L,1,3,0.3
CSGALNACT1,CCR3,1,3,0.3
COL11A1,HSH2D,1,3,0.3
CLC,OAS2,2,3,0.3
RNU6-1188P,BCL2L14,2,3,0.3
RORA,ARHGEF10,2,3,0.3
RNF182,PRSS33,0,3,0.3
VNN1,LANCL3,0,3,0.3
FAM167B,PLCD3,2,3,0.3
C1QA,CDKN1C,0,3,0.3
